id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,7.00,3.80,1.84,1.96,-48.52
Australia,4.35,1.09,3.98,1.22,11.11
Brazil,8.20,1.72,4.76,2.29,32.91
Britain,2.29,0.62,3.67,0.64,2.55
Canada,4.12,1.04,3.97,1.15,11.00
Chile,1600.00,503.10,3.18,446.93,-11.17
China,12.50,6.83,1.83,3.49,-48.86
Colombia,8200.00,2095.60,3.91,2296.92,9.61
Costa Rica,2050.00,582.57,3.52,574.23,-1.43
Czech Republic,67.64,18.21,3.71,18.89,3.76
Denmark,30.94,5.16,5.99,8.64,67.43
Egypt,13.00,5.47,2.38,3.63,-33.55
Euro area,3.36,0.69,4.84,0.94,35.31
Hong Kong,14.80,7.76,1.91,4.13,-46.70
Hungary,720.00,186.65,3.86,201.12,7.75
India,,,,,
Indonesia,20900.00,9320.00,2.24,5837.99,-37.36
Israel,14.90,3.73,3.99,4.16,11.51
Japan,320.00,91.54,3.50,89.39,-2.35
Latvia,1.55,0.50,3.09,0.43,-13.46
Lithuania,7.10,2.48,2.87,1.99,-19.65
Malaysia,7.05,3.39,2.08,1.97,-41.87
Mexico,32.00,12.81,2.50,8.94,-30.24
New Zealand,4.90,1.36,3.61,1.37,0.87
Norway,40.00,5.70,7.02,11.17,96.17
Pakistan,200.00,82.60,2.42,56.02,-32.18
Peru,8.06,2.87,2.81,2.25,-21.61
Philippines,101.52,45.92,2.21,28.36,-38.25
Poland,8.10,2.84,2.86,2.26,-20.21
Russia,70.00,29.93,2.34,19.55,-34.66
Saudi Arabia,10.00,3.75,2.67,2.79,-25.52
Singapore,4.45,1.40,3.19,1.24,-10.93
South Africa,17.95,7.30,2.46,5.01,-31.36
South Korea,3400.00,1140.50,2.98,949.72,-16.73
Sri Lanka,210.00,114.86,1.83,58.82,-48.79
Sweden,39.00,7.08,5.51,10.89,53.82
Switzerland,6.50,1.03,6.30,1.82,76.08
Taiwan,75.00,31.84,2.36,20.95,-34.21
Thailand,70.00,33.14,2.11,19.55,-40.99
Turkey,5.65,1.47,3.83,1.58,7.03
UAE,11.00,3.67,2.99,3.07,-16.35
Ukraine,14.00,7.66,1.83,3.92,-48.80
United States,3.58,1.00,3.58,1.00,0.00
Uruguay,77.00,23.17,3.32,21.57,-6.91
Venezuela,,,,,